Date,Open,High,Low,Close,Adj Close,Volume
2019-07-31,4090.838379,4099.929199,4045.384766,4072.656982,3288.056396,116420070
2019-08-01,4081.747559,4099.929199,4009.021729,4045.384766,3266.038086,157991988
2019-08-02,3999.930908,4063.566162,3990.840088,4045.384766,3266.038086,131279017
2019-08-05,4009.021729,4018.112305,3881.751221,3881.751221,3133.928467,165923785
2019-08-06,3727.208252,3827.206543,3654.482422,3727.208252,3009.158691,272405185
2019-08-07,3763.571289,3899.932617,3763.571289,3863.569580,3119.249756,161676832
2019-08-08,3863.569580,3927.204834,3863.569580,3899.932617,3148.607422,102671923
2019-08-09,3936.295654,3954.477051,3909.023438,3936.295654,3177.964844,90719996
2019-08-12,3981.749512,3981.749512,3899.932617,3909.023438,3155.946777,56163890
2019-08-13,3936.295654,3936.295654,3863.569580,3890.841797,3141.267822,88148482
2019-08-14,3936.295654,3954.477051,3918.114258,3936.295654,3177.964844,102602292
2019-08-15,3827.206543,3890.841797,3799.934326,3863.569580,3119.249756,126758709
2019-08-16,3863.569580,3872.660400,3818.115967,3827.206543,3089.892090,102969368
2019-08-19,3754.480713,3836.297363,3754.480713,3799.934326,3067.873779,66407047
2019-08-20,3799.934326,3818.115967,3718.117676,3727.208252,3009.158691,112883069
2019-08-21,3727.208252,3790.843506,3672.663818,3681.754639,2972.461670,92826643
2019-08-22,3690.845459,3763.571289,3636.300781,3699.936035,2987.140381,136489697
2019-08-23,3663.572998,3727.208252,3654.482422,3709.026855,2994.479736,64061696
2019-08-26,3654.482422,3699.936035,3636.300781,3699.936035,2987.140381,71268030
2019-08-27,3754.480713,3827.206543,3709.026855,3818.115967,3082.552246,196025365
2019-08-28,3836.297363,3854.478760,3809.025146,3809.025146,3075.213379,109954819
2019-08-29,3836.297363,3836.297363,3781.752930,3818.115967,3082.552246,74831102
2019-08-30,3809.025146,3881.751221,3745.389893,3881.751221,3133.928467,119899980
2019-09-02,3881.751221,3890.841797,3827.206543,3836.297363,3097.231689,75321490
2019-09-03,3799.934326,3881.751221,3754.480713,3772.662109,3045.855469,83772936
2019-09-04,3799.934326,3799.934326,3727.208252,3781.752930,3053.195313,84356057
2019-09-05,3836.297363,3845.388184,3799.934326,3836.297363,3097.231689,84846225
2019-09-06,3872.660400,3899.932617,3863.569580,3881.751221,3133.928467,125869894
2019-09-09,3899.932617,3899.932617,3790.843506,3790.843506,3060.534424,75150988
2019-09-10,3799.934326,3809.025146,3772.662109,3809.025146,3075.213379,76217016
2019-09-11,3772.662109,3872.660400,3772.662109,3863.569580,3119.249756,125741191
2019-09-12,3909.023438,3954.477051,3881.751221,3890.841797,3141.267822,95813194
2019-09-13,3927.204834,3927.204834,3890.841797,3918.114258,3163.286133,61703145
2019-09-16,3899.932617,3899.932617,3727.208252,3809.025146,3075.213379,145880779
2019-09-17,3781.752930,3863.569580,3754.480713,3863.569580,3119.249756,117840195
2019-09-18,3854.478760,3872.660400,3827.206543,3854.478760,3111.910156,84048931
2019-09-19,3818.115967,3845.388184,3818.115967,3836.297363,3097.231689,101320660
2019-09-20,3818.115967,3836.297363,3754.480713,3781.752930,3053.195313,239258752
2019-09-23,3781.752930,3818.115967,3781.752930,3799.934326,3067.873779,93391943
2019-09-24,3781.752930,3781.752930,3736.299072,3736.299072,3016.498291,104585626
2019-09-25,3699.936035,3745.389893,3654.482422,3709.026855,2994.479736,91472409
2019-09-26,3736.299072,3827.206543,3727.208252,3827.206543,3089.892090,88134402
2019-09-27,3827.206543,3827.206543,3781.752930,3799.934326,3067.873779,63434135
2019-09-30,3818.115967,3818.115967,3736.299072,3745.389893,3023.837402,83981500
2019-10-01,3745.389893,3754.480713,3699.936035,3699.936035,2987.140381,87507501
2019-10-02,3681.754639,3718.117676,3563.574707,3572.665527,2884.388672,182983980
2019-10-03,3518.121094,3536.302490,3463.576416,3463.576416,2796.315674,195391424
2019-10-04,3527.211914,3599.937744,3509.030273,3590.847168,2899.067383,103236563
2019-10-07,3609.028564,3627.209961,3509.030273,3545.393311,2862.370361,139378677
